latitude,longitude
25,-124
25,-123.6040268
25,-123.2080537
25,-122.8120805
25,-122.4161074
25,-122.0201342
25,-121.6241611
25,-121.2281879
25,-120.8322148
25,-120.4362416
25,-120.0402685
25,-119.6442953
25,-119.2483221
25,-118.852349
25,-118.4563758
25,-118.0604027
25,-117.6644295
25,-117.2684564
25,-116.8724832
25,-116.4765101
25,-116.0805369
25,-115.6845638
25,-115.2885906
25,-114.8926174
25,-114.4966443
25,-114.1006711
25,-113.704698
25,-113.3087248
25,-112.9127517
25,-112.5167785
25,-112.1208054
25,-111.7248322
25,-111.3288591
25,-110.9328859
25,-110.5369128
25,-110.1409396
25,-109.7449664
25,-109.3489933
25,-108.9530201
25,-108.557047
25,-108.1610738
25,-107.7651007
25,-107.3691275
25,-106.9731544
25,-106.5771812
25,-106.1812081
25,-105.7852349
25,-105.3892617
25,-104.9932886
25,-104.5973154
25,-104.2013423
25,-103.8053691
25,-103.409396
25,-103.0134228
25,-102.6174497
25,-102.2214765
25,-101.8255034
25,-101.4295302
25,-101.033557
25,-100.6375839
25,-100.2416107
25,-99.84563758
25,-99.44966443
25,-99.05369128
25,-98.65771812
25,-98.26174497
25,-97.86577181
25,-97.46979866
25,-97.0738255
25,-96.67785235
25,-96.28187919
25,-95.88590604
25,-95.48993289
25,-95.09395973
25,-94.69798658
25,-94.30201342
25,-93.90604027
25,-93.51006711
25,-93.11409396
25,-92.71812081
25,-92.32214765
25,-91.9261745
25,-91.53020134
25,-91.13422819
25,-90.73825503
25,-90.34228188
25,-89.94630872
25,-89.55033557
25,-89.15436242
25,-88.75838926
25,-88.36241611
25,-87.96644295
25,-87.5704698
25,-87.17449664
25,-86.77852349
25,-86.38255034
25,-85.98657718
25,-85.59060403
25,-85.19463087
25,-84.79865772
25,-84.40268456
25,-84.00671141
25,-83.61073826
25,-83.2147651
25,-82.81879195
25,-82.42281879
25,-82.02684564
25,-81.63087248
25,-81.23489933
25,-80.83892617
25,-80.44295302
