id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
442,manicore,Santana do Livramento-A804,Santana do Livramento,A804,-30.842449,-55.613089,328,,,,,,?,0
281,manicore,São José do Rio Claro-A903,São José do Rio Claro,A903,-13.453981,-56.677323,340,,,,,,?,0
352,manicore,São Raimundo Nonato-A345,São Raimundo Nonato,A345,-9.033211,-42.701112,383,,,,,,?,0
373,manicore,Marechal Cândido Rondon-A820,Marechal Cândido Rondon,A820,-24.533303,-54.019248,392,,,,,,?,0
334,manicore,Salgueiro-A370,Salgueiro,A370,-8.0580556,-39.096111,447,,,,,,?,0
77,manicore,Santa Rita de Cássia-A415,Santa Rita de Cássia,A415,-11.002768,-44.524965,450,,,,,,?,0
53,manicore,Formosa do Rio Preto-A452,Formosa do Rio Preto,A452,-11.0521639,-45.2007694,488,,,,,,?,0
446,manicore,Santo Augusto-A805,Santo Augusto,A805,-27.854345,-53.791179,490,,,,,,?,0
525,manicore,Tupã-A768,Tupã,A768,-21.927251,-50.490251,498,,,,,,?,0
394,manicore,Rio Claro (Passa Três)-A626,Rio Claro (Passa Três),A626,-22.65358,-44.040916,516,,,,,,?,0
256,manicore,Campo Novo dos Parecis-A905,Campo Novo dos Parecis,A905,-13.785907,-57.838485,525,,,,,,?,0
227,manicore,Campo Grande-A702,Campo Grande,A702,-20.447195,-54.722615,528,,,,,,?,0
186,manicore,Janaúba-A563,Janaúba,A563,-15.802833,-43.297056,532,,,,,,?,0
130,manicore,Monte Alegre de Goiás-A032,Monte Alegre de Goiás,A032,-13.253521,-46.890326,551,,,,,,?,0
282,manicore,Sapezal-A911,Sapezal,A911,-13.304085,-58.763525,555,,,,,,?,0
171,manicore,Conceição das Alagoas-A520,Conceição das Alagoas,A520,-19.98586,-48.151574,573,,,,,,?,0
498,manicore,Cachoeira Paulista-A769,Cachoeira Paulista,A769,-22.689001,-45.005444,586,,,,,,?,0
356,manicore,Campina da Lagoa-B803,Campina da Lagoa,B803,-24.570861,-52.800256,598,,,,,,?,0
120,manicore,Edéia-A029,Edéia,A029,-17.337001,-49.914778,610,,,,,,?,0
435,manicore,Palmeira das Missões-A856,Palmeira das Missões,A856,-27.920379,-53.318049,614,,,,,,?,0
245,manicore,São Gabriel do Oeste-A732,São Gabriel do Oeste,A732,-19.42032,-54.553088,646,,,,,,?,0
511,manicore,Marília-A763,Marília,A763,-22.235222,-49.965111,660,,,,,,?,0
279,manicore,Santo Antônio do Leste-A931,Santo Antônio do Leste,A931,-14.927883,-53.883643,664,,,,,,?,0
520,manicore,São Miguel Arcanjo-A715,São Miguel Arcanjo,A715,-23.852022,-48.164817,676,,,,,,?,0
161,manicore,Bambuí-A565,Bambuí,A565,-20.031111,-46.008811,697,,,,,,?,0
501,manicore,Dracena-A762,Dracena,A762,-21.457699,-51.552254,720,,,,,,?,0
112,manicore,Venda Nova do Imigrante-A633,Venda Nova do Imigrante,A633,-20.385423,-41.1899342,722,,,,,,?,0
66,manicore,Luis Eduardo Magalhaes-A404,Luis Eduardo Magalhaes,A404,-12.152394,-45.829745,761,,,,,,?,0
217,manicore,UBERABA-A568,UBERABA,A568,-19.710028,-47.961889,778,,,,,,?,0
521,manicore,São Paulo (Mirante de Santana)-A701,São Paulo (Mirante de Santana),A701,-23.496294,-46.620088,786,,,,,,?,0
496,manicore,Bebedouro-A764,Bebedouro,A764,-20.949197,-48.489944,790,,,,,,?,0
175,manicore,Divinópolis-A564,Divinópolis,A564,-20.173278,-44.874944,796,,,,,,?,0
433,manicore,Lagoa Vemelha-A844,Lagoa Vemelha,A844,-28.222381,-51.512845,834,,,,,,?,0
372,manicore,Laranjeiras do Sul-B804,Laranjeiras do Sul,B804,-25.368944,-52.391944,835,,,,,,?,0
164,manicore,Belo Horizonte - Pampulha-A521,Belo Horizonte , Pampulha,-19.883945,-43.969397,854,,,,,,?,0
519,manicore,São Luis do Paraitinga-A740,São Luis do Paraitinga,A740,-23.228362,-45.417055,862,,,,,,?,0
209,manicore,São João del Rei-A514,São João del Rei,A514,-21.106502,-44.250928,930,,,,,,?,0
360,manicore,Colombo-B806,Colombo,B806,-25.322464,-49.157733,950,,,,,,?,0
202,manicore,Patos de Minas-A562,Patos de Minas,A562,-18.520667,-46.440611,950,,,,,,?,0
190,manicore,Machado-A567,Machado,A567,-21.680722,-45.944389,969,,,,,,?,0
203,manicore,Patrocíonio-A523,Patrocíonio,A523,-18.996684,-46.985935,978,,,,,,?,0
121,manicore,Gama (Ponte Alta)-A046,Gama (Ponte Alta),A046,-15.935139,-48.137377,990,,,,,,?,0
182,manicore,Guarda-Mor-A546,Guarda,Mor,-17.561349,-47.199251,997,,,,,,?,0
275,manicore,Primavera do Leste-A923,Primavera do Leste,A923,-15.579944,-54,381001,,,,,,?,0
