0.89,722430,13,06,1985,75.1,59.2,1016.3,1012.5,13.0,6.2,12.0,999.9,88.9,62.8,G,999.9,0,0,0,0,0,0,36
0.0,722430,13,08,1985,82.4,73.3,1013.8,1010.1,12.7,6.1,13.0,17.1,94.1,73.6,D,999.9,0,1,0,0,1,0,37
0.0,722430,13,07,1985,82.1,71.7,1016.0,1012.3,10.3,5.8,12.0,999.9,92.3,71.2,D,999.9,0,1,0,0,0,0,38
0.0,722430,14,06,1985,77.5,62.3,1013.3,1009.5,13.6,5.5,11.1,999.9,89.1,62.8,G,999.9,0,0,0,0,0,0,39
0.15,722430,14,07,1985,81.0,73.2,1017.3,1013.5,12.9,5.7,15.9,999.9,91.8,71.2,G,999.9,0,1,0,0,1,0,40
0.0,722430,14,08,1985,80.1,74.1,1013.8,1010.1,10.3,6.1,13.0,999.9,91.0,72.5,D,999.9,1,1,0,0,1,0,41
0.0,722430,15,06,1985,80.1,69.1,1011.2,1007.4,10.8,3.9,8.9,999.9,93.0,64.2,D,999.9,1,0,0,0,0,0,42
0.06,722430,15,07,1985,80.5,73.2,1016.7,1013.0,11.9,4.8,11.1,999.9,91.9,72.0,G,999.9,0,1,0,0,1,0,43
0.02,722430,15,08,1985,80.4,72.7,1010.0,1006.3,14.5,6.2,9.9,999.9,91.6,72.5,G,999.9,0,1,0,0,1,0,44
0.0,722430,16,07,1985,81.4,72.2,1016.2,1012.4,12.2,6.1,12.0,999.9,93.9,70.9,G,999.9,0,1,0,0,0,0,45
0.0,722430,16,08,1985,84.0,73.2,1011.1,1007.4,14.5,4.9,10.1,999.9,95.0,73.2,G,999.9,0,0,0,0,0,0,46
0.0,722430,16,06,1985,82.9,70.3,1012.0,1008.4,10.7,4.1,8.9,999.9,93.9,68.9,C,999.9,0,0,0,0,0,0,47
0.0,722430,17,06,1985,84.4,74.1,1013.7,1010.0,12.7,6.6,10.1,15.0,94.6,69.6,D,999.9,0,0,0,0,0,0,48
1.54,722430,17,07,1985,80.9,72.0,1015.4,1011.7,11.3,5.7,14.0,25.1,93.9,70.9,G,999.9,0,1,0,0,1,0,49
0.0,722430,17,08,1985,85.9,75.1,1014.1,1010.4,14.4,5.8,10.1,999.9,96.4,75.2,D,999.9,0,0,0,0,0,0,50
0.0,722430,18,08,1985,86.1,74.4,1016.3,1012.6,14.8,4.9,8.9,999.9,98.1,75.0,D,999.9,0,0,0,0,0,0,51
1.66,722430,18,06,1985,78.9,73.2,1015.2,1011.4,10.6,6.5,12.0,27.0,94.5,70.0,G,999.9,1,1,0,0,1,0,52
0.01,722430,18,07,1985,81.0,74.1,1014.7,1011.0,9.7,4.0,11.1,999.9,91.2,72.0,G,999.9,0,0,0,0,0,0,53
1.77,722430,19,06,1985,70.9,68.5,1016.8,1013.0,10.1,6.3,12.0,999.9,85.3,67.8,G,999.9,1,1,0,0,0,0,54
1.72,722430,19,07,1985,76.2,71.7,1016.2,1012.4,6.5,3.8,18.1,29.9,90.1,70.0,G,999.9,1,1,0,0,1,0,55
0.0,722430,19,08,1985,86.9,73.4,1015.9,1012.3,14.7,5.6,8.9,999.9,98.4,75.0,D,999.9,0,0,0,0,0,0,56
0.31,722430,20,06,1985,75.3,69.5,1015.5,1011.7,13.2,6.6,14.0,999.9,84.0,67.8,G,999.9,0,0,0,0,0,0,57
0.0,722430,20,07,1985,78.4,73.7,1016.5,1012.7,7.5,3.1,14.0,18.1,85.6,69.6,D,999.9,1,1,0,0,1,0,58
0.0,722430,20,08,1985,86.3,74.4,1015.2,1011.5,14.3,6.2,27.0,40.0,98.8,75.2,D,999.9,0,1,0,0,1,0,59
0.83,722430,21,07,1985,81.3,72.8,1014.5,1010.8,13.7,5.2,10.1,999.9,91.9,71.1,G,999.9,0,0,0,0,0,0,60
0.67,722430,21,08,1985,80.2,74.9,1016.6,1012.9,8.0,5.3,15.9,999.9,98.8,73.6,G,999.9,1,1,0,0,1,0,61
0.0,722430,21,06,1985,77.9,72.3,1012.5,1008.7,10.8,7.8,14.0,24.1,86.5,69.6,G,999.9,0,1,0,0,1,0,62
0.05,722430,22,06,1985,80.0,74.4,1014.6,1010.8,8.8,7.1,12.0,999.9,87.4,74.3,G,999.9,1,1,0,0,0,0,63
0.0,722430,22,07,1985,83.5,73.5,1013.0,1009.3,13.5,5.5,8.9,999.9,93.0,71.4,G,999.9,0,0,0,0,0,0,64
0.02,722430,22,08,1985,84.1,74.9,1015.8,1012.0,8.6,4.2,12.0,999.9,95.0,73.6,G,999.9,1,0,0,0,0,0,65
0.01,722430,23,06,1985,81.2,74.6,1017.6,1013.8,8.1,6.7,14.0,999.9,89.1,74.1,G,999.9,1,0,0,0,0,0,66
0.0,722430,23,07,1985,83.9,73.3,1012.2,1008.5,13.7,4.8,8.9,999.9,93.4,72.5,D,999.9,0,0,0,0,0,0,67
0.0,722430,23,08,1985,84.6,74.7,1014.7,1011.0,10.6,5.9,10.1,999.9,95.4,73.8,G,999.9,1,0,0,0,0,0,68
0.0,722430,24,06,1985,81.5,73.6,1017.7,1014.0,9.8,6.3,11.1,999.9,89.4,73.2,G,999.9,1,0,0,0,0,0,69
0.0,722430,24,08,1985,84.3,76.0,1015.1,1011.4,12.8,5.6,10.1,19.0,94.6,74.1,D,999.9,0,1,0,0,1,0,70
0.0,722430,24,07,1985,84.8,73.6,1011.5,1007.8,13.1,6.9,11.1,999.9,93.9,73.9,D,999.9,0,0,0,0,0,0,71
0.04,722430,25,08,1985,81.7,72.0,1015.4,1011.7,14.1,6.2,18.1,999.9,96.1,71.4,G,999.9,0,1,0,0,1,0,72
0.0,722430,25,07,1985,85.3,74.5,1013.5,1009.8,12.8,7.4,11.1,999.9,95.0,75.6,D,999.9,0,0,0,0,0,0,73
0.0,722430,25,06,1985,80.9,72.0,1015.8,1012.1,9.9,6.3,11.1,999.9,89.1,71.1,D,999.9,1,0,0,0,0,0,74
0.0,722430,26,06,1985,80.8,72.1,1014.2,1010.5,11.3,6.0,12.0,999.9,89.8,71.1,D,999.9,1,1,0,0,1,0,75
0.0,722430,26,08,1985,80.1,67.3,1017.0,1013.2,13.8,5.4,12.0,17.1,96.8,64.8,H,999.9,0,1,0,0,1,0,76
0.0,722430,26,07,1985,84.0,74.8,1017.0,1013.3,10.6,5.2,10.1,999.9,95.2,73.2,D,999.9,1,0,0,0,0,0,77
0.0,722430,27,08,1985,81.8,71.2,1019.2,1015.5,11.5,7.0,11.1,999.9,94.6,64.8,D,999.9,0,0,0,0,0,0,78
0.0,722430,27,07,1985,84.2,73.6,1016.0,1012.3,10.6,5.5,8.0,999.9,95.0,73.2,D,999.9,0,0,0,0,0,0,79
0.06,722430,27,06,1985,81.2,71.8,1015.4,1011.7,13.0,5.0,10.1,999.9,89.2,71.1,G,999.9,0,0,0,0,0,0,80
0.0,722430,28,07,1985,84.8,72.6,1014.0,1010.3,11.0,5.3,8.9,999.9,95.9,73.8,D,999.9,0,0,0,0,0,0,81
0.0,722430,28,08,1985,80.3,71.4,1020.0,1016.3,12.4,8.1,13.0,999.9,92.8,69.3,D,999.9,0,0,0,0,0,0,82
0.0,722430,28,06,1985,79.0,66.4,1016.5,1012.7,13.8,7.1,12.0,999.9,90.1,72.0,G,999.9,0,0,0,0,0,0,83
0.0,722430,29,08,1985,80.0,70.8,1017.5,1013.7,12.2,5.3,12.0,999.9,91.9,72.3,D,999.9,0,1,0,0,1,0,84
0.0,722430,29,06,1985,75.8,57.3,1017.4,1013.6,14.9,7.2,11.1,999.9,88.0,62.2,D,999.9,0,0,0,0,0,0,85
0.0,722430,29,07,1985,84.4,74.6,1015.4,1011.7,12.0,6.3,13.0,19.0,94.3,75.4,D,999.9,0,1,0,0,1,0,86
0.0,722430,30,06,1985,76.5,58.5,1018.3,1014.5,14.8,3.2,10.1,999.9,89.1,61.0,D,999.9,0,0,0,0,0,0,87
0.0,722430,30,07,1985,83.9,73.7,1017.6,1013.9,11.8,6.1,10.1,999.9,96.1,74.5,D,999.9,0,0,0,0,0,0,88
0.02,722430,30,08,1985,80.2,73.1,1015.4,1011.7,10.0,3.0,8.0,999.9,93.9,71.4,G,999.9,1,0,0,0,0,0,89
0.0,722430,31,07,1985,85.1,72.9,1017.6,1013.9,12.9,6.1,8.9,999.9,95.2,74.1,D,999.9,0,0,0,0,0,0,90
0.1,722430,31,08,1985,85.5,73.8,1014.4,1010.7,10.5,4.6,7.0,999.9,99.0,71.4,G,999.9,0,0,0,0,0,0,91
0.0,722433,01,07,1985,84.8,69.3,9999.9,9999.9,10.8,3.1,8.0,999.9,93.9,72.0,C,999.9,0,0,0,0,0,0,92
0.0,722433,01,06,1985,87.8,72.9,9999.9,9999.9,11.6,5.1,8.0,999.9,96.1,75.9,C,999.9,0,0,0,0,0,0,93
0.0,722433,01,08,1985,88.3,76.5,9999.9,9999.9,11.2,1.6,8.0,999.9,98.1,75.0,C,999.9,0,0,0,0,0,0,94
0.0,722433,02,08,1985,88.5,75.7,9999.9,9999.9,11.3,3.1,7.0,999.9,97.0,75.9,C,999.9,0,0,0,0,0,0,95
0.0,722433,02,07,1985,83.1,73.7,9999.9,9999.9,9.5,3.3,9.9,15.9,93.0,70.0,C,999.9,1,0,0,0,1,0,96
0.0,722433,03,08,1985,86.5,74.2,9999.9,9999.9,11.2,2.0,15.0,25.1,96.1,78.1,H,999.9,0,1,0,0,1,0,97
0.0,722433,03,06,1985,85.0,73.4,9999.9,9999.9,13.2,7.2,12.0,999.9,93.0,75.9,B,999.9,0,0,0,0,0,0,98
0.0,722433,03,07,1985,81.5,74.3,9999.9,9999.9,11.6,4.1,12.0,25.1,87.1,75.0,C,999.9,0,0,0,0,0,0,99
0.0,722433,04,06,1985,84.5,74.2,9999.9,9999.9,13.2,9.1,14.0,999.9,91.9,75.0,C,999.9,0,0,0,0,0,0,100
0.0,722433,04,07,1985,72.3,70.5,9999.9,9999.9,7.1,3.3,8.0,999.9,75.0,70.0,H,999.9,1,1,0,0,0,0,101
0.0,722433,04,08,1985,92.0,77.7,9999.9,9999.9,9.8,4.0,9.9,999.9,95.0,87.1,A,999.9,0,0,0,0,0,0,102
