id,name,lat,lon
79,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA MARINGA/MT,-13.038642,-57.092201
76,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTA FLORESTA/MT,-10.077262,-56.179221
70,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SINOP/MT,-11.982245,-55.565993
80,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA UBIRATÃ/MT,-13.411105,-54.752144
84,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIQUIRA/MT,-17.175051,-54.501690
68,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANATINGA/MT,-14.421492,-54.036055
83,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUIRATINGA/MT,-16.341587,-53.766089
85,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO TAQUARI/MT,-17.841011,-53.289474
81,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GAUCHA DO NORTE/MT,-13.184857,-53.257366
71,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONFRESA/MT,-10.639518,-51.571456
74,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.FELIX DO ARAGUAIA/MT,-11.619023,-50.727856
99,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE L. E. MAGALHAES/BA,-12.152394,-45.829745
97,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARREIRAS/BA,-12.124715,-45.027049
109,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE STA RITA DE CASSIA/BA,-11.002768,-44.524965
122,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITIRAMA/BA,-10.722925,-43.651203
111,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DA LAPA/BA,-13.251094,-43.405365
119,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA/BA,-11.084858,-43.138998
116,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUANAMBI/BA,-14.208124,-42.749647
113,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE REMANSO/BA,-9.625693,-42.077214
114,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IRECÊ/BA,-11.328998,-41.864504
123,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRUMADO/BA,-14.181886,-41.672281
115,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LENÇOIS/BA,-12.557854,-41.388808
108,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITORIA DA CONQUISTA/BA,-14.886428,-40.801330
130,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JACOBINA/BA,-11.205136,-40.464979
103,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITABERABA/BA,-12.524062,-40.299714
118,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SENHOR DO BONFIM/BA,-10.443072,-40.148244
102,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIRUÇÚ/BA,-13.527828,-40.119752
124,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMARGOSA/BA,-13.009468,-39.616881
125,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UAUÁ/BA,-9.833617,-39.495631
100,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARAVELAS/BA,-17.739413,-39.258617
117,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO SEGURO/BA,-16.388977,-39.182389
127,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UNA/BA,-15.280215,-39.091270
101,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZ DAS ALMAS/BA,-12.675422,-39.089580
128,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARAU/BA,-13.906940,-38.972220
112,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ABROLHOS/BA,-17.963016,-38.703288
96,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALVADOR/BA,-13.005515,-38.505760
105,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULO AFONSO/BA,-9.378106,-38.226771
121,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONDE/BA,-12.035833,-37.683889
92,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PALMEIRA DOS INDIOS/AL,-9.420334,-36.620371
93,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAPIRACA/AL,-9.804551,-36.619198
94,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORURIPE/AL,-10.128482,-36.286348
90,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACEIÓ/AL,-9.551168,-35.770195
98,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AREMBEPE/BA,0.000000,0.000000
170,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ESTREITO/MA,-6.653272,-47.418241
173,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITICUPÚ/MA,-4.320597,-46.449503
162,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GRAJAÚ/MA,-5.816085,-46.162200
159,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BALSAS/MA,-7.455609,-46.027546
165,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TURIAÇU/MA,-1.661224,-45.372571
167,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA DO CORDA/MA,-5.506782,-45.237053
141,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORMOSO DO RIO PRETO/BA,-11.052164,-45.200769
168,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COLINAS/MA,-6.033167,-44.233402
158,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO LUIZ/MA,-2.526771,-44.213577
163,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTANA/MA,-2.270811,-43.624043
161,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADINHA/MA,-3.742674,-43.352084
195,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FLORIANO/PI,-6.761438,-43.003396
196,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TERESINA/PI,-5.034769,-42.801341
164,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PREGUIÇAS/MA,-2.592341,-42.707553
139,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PILÃO ARCADO/BA,-10.002261,-42.473641
194,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARNAÍBA/PI,-3.086656,-41.783139
133,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DELFINO/BA,-10.454920,-41.206996
153,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRATEUS/CE,-5.186636,-40.672128
154,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPOS SALES/CE,-7.077730,-40.362678
145,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SOBRAL/CE,-3.748177,-40.345720
149,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TAUÁ/CE,-6.017474,-40.281321
193,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OURICURI/PE,-7.885833,-40.102683
157,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ACARAÚ/CE,-3.121067,-40.087288
138,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CURACA/BA,-9.001300,-39.912400
135,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPIAU/BA,-14.171304,-39.692502
143,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAMARAJU/BA,-17.436667,-39.550861
