Nome,Latitude,Longitude,Altitude
Paranã-A010,-12.614893,-47.871917,285 
Pedro Afonso-A020,-8.968677,-48.177259,190 
Peixe-A018,-12.015377,-48.544517,251 
Pium-A051,-10.476944,-49.629475,161 
Rio Sono-A050,-9.793363,-47.132732,291 
Santa Fé do Araguaia-A048,-7.124191,-48.781267,171 
Santa Rosa do Tocantins-A052,-11.429018,-48.184889,306 
Colonia-U560,-34.4510,-57.7675,22 
Paso de los Toros-U460,-32.7989694,-56.5290528,75 
Rocha-U565,-34.4936,-54.3124,18 
