Nome,Latitude,Longitude,Altitude
Iporá-A028,-16.423059,-51.148801,610 
Itapaci-A015,-14.979792,-49.539977,551 
Itumbiara-A035,-18.409761,-49.192061,491 
Jataí-A016,-17.923622,-51.717467,670 
Luziânia-A012,-16.260542,-47.966962,1.001 
Monte Alegre de Goiás-A032,-13.253521,-46.890326,551 
Morrinhos-A003,-17.745066,-49.101698,751 
Niquelândia-A004,-14.469358,-48.485756,664 
Paraúna-A027,-16.962536,-50.425450,679 
Pires do Rio-A033,-17.304153,-48.284131,757 
Posse-A017,-14.089210,-46.366497,830 
Rio Verde-A025,-17.785303,-50.964869,780 
São Miguel do Araguaia-A031,-12.820489,-50.335969,210 
São Simão-A011,-18.969142,-50.633449,492 
Silvânia-A037,-16.679786,-48.618171,952 
Alto Parnaíba-A223,-9.108199,-45.932016,284 
Bacabal-A220,-4.243056,-44.794993,22 
Balsas-A204,-7.455609,-46.027546,271 
Barra do Corda-A221,-5.506782,-45.237053,154 
Buriticupu-A238,-4.320597,-46.449503,175 
Carolina-A205,-7.337269,-47.459839,183 
Caxias-A237,-4.821352,-43.343659,85 
Chapadinha-A206,-3.742674,-43.352084,104 
Colinas-A222,-6.033167,-44.233402,175 
Estreito-A224,-6.653272,-47.418241,183 
Farol Preguiças-A218,-2.592341,-42.707553,5 
Farol Santana-A217,-2.270811,-43.624043,10 
Grajaú-A207,-5.816085,-46.162200,232 
Imperatriz-A225,-5.555723,-47.459794,118 
São Luís-A203,-2.526771,-44.213577,55 
Turiaçu-A219,-1.661224,-45.372571,36 
Águas Vermelhas-A549,-15.751536,-41.457787,754 
Aimorés-A534,-19.532768,-41.090801,288 
Almenara-A508,-16.166773,-40.687756,189 
Araçuaí-A566,-16.848806,-42.035361,308 
Araxá-A505,-19.605696,-46.949617,1.018 
Bambuí-A565,-20.031111,-46.008811,697 
Barbacena-A502,-21.228373,-43.767703,1.169 
Belo Horizonte - Cercadinho-F501,-19.980034,-43.958651,1.200 
Belo Horizonte - Pampulha-A521,-19.883945,-43.969397,854 
Buritis-A544,-15.524262,-46.435536,894 
Caldas-A530,-21.918066,-46.382996,1.077 
Campina Verde-A519,-19.539210,-49.518133,559 
Capelinha-A541,-17.705504,-42.389256,932 
Caratinga-A554,-19.735757,-42.137146,609 
Chapada Gaúcha-A548,-15.300159,-45.617431,873 
Conceição das Alagoas-A520,-19.985860,-48.151574,573 
Coronel Pacheco-A557,-21.546728,-43.261029,411 
Curvelo-A538,-18.747711,-44.453785,669 
Diamantina-A537,-18.231052,-43.648269,1.359 
Divinópolis-A564,-20.173278,-44.874944,796 
Dores do Indaiá-A536,-19.481935,-45.593932,721 
Espinosa-A543,-14.912284,-42.808473,565 
Florestal-A535,-19.885398,-44.416883,754 
Formiga-A524,-20.454930,-45.453825,878 
Governador Valadares-A532,-18.830354,-41.977007,198 
Guanhães-A533,-18.786842,-42.942921,853 
Guarda-Mor-A546,-17.561349,-47.199251,997 
Ibirité (Rola Moça)-A555,-20.031457,-44.011249,1.199 
Itaobim-A550,-16.575667,-41.485588,272 
Ituiutaba-A512,-18.952907,-49.525072,540 
Janaúba-A563,-15.802833,-43.297056,532 
Januária-A559,-15.44808917,-44.36631333,468 
João Pinheiro-A553,-17.784770,-46.119394,877 
Juiz de Fora-A518,-21.769965,-43.364329,937 
Machado-A567,-21.680722,-45.944389,969 
Manhuaçu-A556,-20.263378,-42.182817,819 
Mantena-A540,-18.780620,-40.986505,255 
