nome-slug,cod,lat,lon,alt,id
passo-fundo,A839,-28.226805,-52.403582,681,471
xanxere,A858,-26.938666,-52.39809,879,499
rio-pardo,A813,-29.872113,-52.38198,107,458
clevelandia,A876,-26.4172,-52.348741,966,447
erechim,A828,-27.65771,-52.305805,777,461
aragarcas,A013,-15.902658,-52.245172,327,9
querencia,A916,-12.627315,-52.220891,361,69
agua-boa,A908,-14.016496,-52.21169,440,62
rio-grande,A802,-32.07878,-52.167738,5,449
paranapoema,A850,-22.658273,-52.134526,309,439
nova-tebas,A822,-24.437346,-51.96302,656,429
maringa,A835,-23.405357,-51.932828,549,433
serafina-correa,A894,-28.704806,-51.870751,545,487
oiapoque,A242,3.813583,-51.8625,15,250
camaqua,A838,-30.807953,-51.83424,92,470
teutonia,A882,-29.450334,-51.824283,80,482
caiaponia,A023,-16.966841,-51.817567,740,15
cassilandia,A742,-19.122471,-51.720732,495,42
jatai,A016,-17.923622,-51.717467,670,12
tres-lagoas,A704,-20.79,-51.7122,329,29
confresa,A918,-10.639518,-51.571456,233,71
joacaba,A841,-27.169268,-51.558963,768,494
bento-goncalves,A840,-29.164581,-51.534202,623,472
lagoa-vermelha,A844,-28.222381,-51.512845,834,473
presidente-prudente,A707,-22.119867,-51.408637,432,395
gen-carneiro,A875,-26.398473,-51.35367,1009,446
paranaiba,A710,-19.695517,-51.181769,408,31
porto-alegre,A801,-30.053536,-51.174766,41,448
ipora,A028,-16.423059,-51.148801,610,20
tucuma,A234,-6.743208,-51.141899,321,270
macapa,A249,0.03502,-51.088763,17,253
inacio-martins,A823,-25.567879,-51.077946,1209,430
campo-bom,A884,-29.674293,-51.064042,23,484
cacador,A859,-26.819156,-50.98552,944,500
rancharia,A718,-22.372832,-50.97471,399,403
rio-verde,A025,-17.785303,-50.964869,780,17
valparaiso,A734,-21.319138,-50.930158,382,410
tartarugalzinho,A243,1.496667,-50.9167,21,251
mostardas,A878,-31.248279,-50.906279,4,478
vacaria,A880,-28.513602,-50.882738,970,480
ivai,A818,-25.010757,-50.853853,804,425
canela,A879,-29.368788,-50.827231,831,479
s-felix-do-araguaia,A921,-11.619023,-50.727856,201,74
pacaja,A210,-3.843701,-50.638098,89,257
sao-simao,A011,-18.969142,-50.633449,492,7
curitibanos,A860,-27.288624,-50.604283,978,501
jales,A733,-20.165025,-50.595134,460,409
nova-fatima,A842,-23.415284,-50.577744,664,434
parauna,A027,-16.962536,-50.42545,679,19
sao-mateus-do-sul,A874,-25.835604,-50.368994,780,445
major-vieira,A864,-26.393664,-50.363211,800,505
santana-do-araguaia,A233,-9.338611,-50.35028,177,269
lages,A865,-27.802228,-50.335457,953,506
ventania,A872,-24.280394,-50.21015,1093,443
japira,A871,-23.773341,-50.18057,693,442
rio-do-campo,A861,-26.937526,-50.145445,592,502
serra-dos-carajas,A230,-6.077427,-50.142265,707,266
goias,A014,-15.939729,-50.141433,513,10
tramandai,A834,-30.010268,-50.135887,5,467
s-j-dos-ausentes,A829,-28.748615,-50.057869,1229,462
castro,A819,-24.786954,-49.999266,994,426
votuporanga,A729,-20.403221,-49.966031,510,408
joaquim-tavora,A821,-23.505266,-49.946387,513,428
novo-repartimento,A235,-4.243989,-49.939308,101,271
sao-joaquim,A815,-28.27564,-49.934617,1400,491
xinguara,A247,-7.110518,-49.926072,245,277
jose-bonifacio,A735,-21.085675,-49.920388,408,411
ourinhos,A716,-22.949,-49.894546,443,402
lins,A727,-21.666045,-49.734854,461,406
torres,A808,-29.350359,-49.733263,8,453
