id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
38,amargosa,Amargosa-A434,Amargosa,A434,-13.009468,-39.616881,398 ,124,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMARGOSA/BA,407.00,13°00'S,39°37'W,IGUAL,1
39,barra,Barra-A429,Barra,A429,-11.084858,-43.138998,408 ,119,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA/BA,403.00,11°05'S,43°08'W,IGUAL,1
40,barreiras,Barreiras-A402,Barreiras,A402,-12.124715,-45.027049,474 ,97,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARREIRAS/BA,470.37,12°09'S,45°01'W,IGUAL,1
41,belmonte,Belmonte-A447,Belmonte,A447,-16.088049,-39.215389,90 ,137,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELMONTE/BA,88.00,16°05'S,39°12'W,IGUAL,1
42,bom-jesus-da-lapa,Bom Jesus da Lapa-A418,Bom Jesus da Lapa,A418,-13.251094,-43.405365,448 ,111,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DA LAPA/BA,440.00,13°25'S,43°11'W,IGUAL,1
43,brumado,Brumado-A433,Brumado,A433,-14.181886,-41.672281,473 ,123,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRUMADO/BA,470.00,14°11'S,41°20'W,IGUAL,1
44,buritirama,Buritirama-A432,Buritirama,A432,-10.722925,-43.651203,506 ,122,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITIRAMA/BA,502.00,10°43'S,43°39'W,IGUAL,1
45,caravelas,Caravelas-A405,Caravelas,A405,-17.739413,-39.258617,6 ,100,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARAVELAS/BA,2.88,17°44'S,39°16'W,IGUAL,1
46,conde,Conde-A431,Conde,A431,-12.035833,-37.683889,32 ,121,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONDE/BA,10.00,11°48'S,37°35'W,IGUAL,1
47,correntina,Correntina-A416,Correntina,A416,-13.332386,-44.617376,552 ,110,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORRENTINA/BA,540.00,13°20'S,44°37'W,IGUAL,1
48,cruz-das-almas,Cruz das Almas-A406,Cruz das Almas,A406,-12.675422,-39.089580,220 ,101,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZ DAS ALMAS/BA,225.87,12°39'S,39°09'W,IGUAL,1
49,curaca,Curaçá-A448,Curaçá,A448,-9.0013,-39.9124,370 ,138,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CURACA/BA,370.00,09°00'S,39°91'W,IGUAL,1
50,delfino,Delfino-A443,Delfino,A443,-10.454920,-41.206996,646 ,133,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DELFINO/BA,637.00,10°27'S,41°12'W,IGUAL,1
